ID,Label,Prediction,Result
1,Yes.,Yes.,1
2,No.,Yes.,0
3,Yes.,Yes.,1
4,No.,No.,1
5,Yes.,No.,0
6,No.,No.,1
7,Yes.,Yes.,1
8,No.,No.,1
9,Yes.,No.,0
10,No.,Yes.,0
11,Yes.,No.,0
12,No.,Yes.,0
13,Yes.,No.,0
14,No.,No.,1
15,Yes.,No.,0
16,No.,Yes.,0
17,Yes.,No.,0
18,No.,No.,1
19,Yes.,No.,0
20,No.,Yes.,0
21,Yes.,Yes.,1
22,No.,Yes.,0
23,Yes.,Yes.,1
24,No.,No.,1
25,Yes.,No.,0
26,No.,No.,1
27,Yes.,No.,0
28,No.,Yes.,0
29,Yes.,No.,0
30,No.,No.,1
31,Yes.,No.,0
32,No.,No.,1
33,Yes.,Yes.,1
34,No.,No.,1
35,Yes.,Yes.,1
36,No.,No.,1
37,Yes.,Yes.,1
38,No.,No.,1
39,Yes.,Yes.,1
40,No.,Yes.,0
41,Yes.,Yes.,1
42,No.,No.,1
43,Yes.,No.,0
44,No.,No.,1
45,Yes.,No.,0
46,No.,Yes.,0
47,Yes.,No.,0
48,No.,No.,1
49,Yes.,Yes.,1
50,No.,Yes.,0
51,Yes.,Yes.,1
52,No.,No.,1
53,Yes.,No.,0
54,No.,No.,1
55,Yes.,Yes.,1
56,No.,No.,1
57,Yes.,Yes.,1
58,No.,Yes.,0
59,Yes.,Yes.,1
60,No.,No.,1
61,Yes.,No.,0
62,No.,No.,1
63,Yes.,No.,0
64,No.,Yes.,0
65,Yes.,Yes.,1
66,No.,No.,1
67,Yes.,Yes.,1
68,No.,Yes.,0
69,Yes.,No.,0
70,No.,Yes.,0
71,Yes.,Yes.,1
72,No.,No.,1
73,Yes.,Yes.,1
74,No.,No.,1
75,Yes.,Yes.,1
76,No.,Yes.,0
77,Yes.,No.,0
78,No.,Yes.,0
79,Yes.,Yes.,1
80,No.,Yes.,0
81,Yes.,No.,0
82,No.,No.,1
83,Yes.,No.,0
84,No.,No.,1
85,Yes.,Yes.,1
86,No.,No.,1
87,Yes.,Yes.,1
88,No.,Yes.,0
89,Yes.,Yes.,1
90,No.,Yes.,0
91,Yes.,Yes.,1
92,No.,No.,1
93,Yes.,Yes.,1
94,No.,Yes.,0
95,Yes.,Yes.,1
96,No.,No.,1
97,Yes.,Yes.,1
98,No.,No.,1
99,Yes.,Yes.,1
100,No.,Yes.,0
101,Yes.,No.,0
102,No.,Yes.,0
103,Yes.,No.,0
104,No.,No.,1
105,Yes.,Yes.,1
106,No.,Yes.,0
107,Yes.,No.,0
108,No.,No.,1
109,Yes.,No.,0
110,No.,No.,1
111,Yes.,Yes.,1
112,No.,No.,1
113,Yes.,Yes.,1
114,No.,No.,1
115,Yes.,No.,0
116,No.,Yes.,0
117,Yes.,Yes.,1
118,No.,Yes.,0
119,Yes.,Yes.,1
120,No.,No.,1
121,Yes.,No.,0
122,No.,Yes.,0
123,Yes.,No.,0
124,No.,No.,1
125,Yes.,Yes.,1
126,No.,No.,1
127,Yes.,Yes.,1
128,No.,No.,1
129,Yes.,Yes.,1
130,No.,No.,1
131,Yes.,Yes.,1
132,No.,Yes.,0
133,Yes.,Yes.,1
134,No.,Yes.,0
135,Yes.,Yes.,1
136,No.,No.,1
137,Yes.,Yes.,1
138,No.,Yes.,0
139,Yes.,Yes.,1
140,No.,Yes.,0
141,Yes.,Yes.,1
142,No.,No.,1
143,Yes.,Yes.,1
144,No.,No.,1
145,Yes.,Yes.,1
146,No.,No.,1
147,Yes.,Yes.,1
148,No.,Yes.,0
149,Yes.,No.,0
150,No.,Yes.,0
151,Yes.,No.,0
152,No.,No.,1
153,Yes.,Yes.,1
154,No.,Yes.,0
155,Yes.,Yes.,1
156,No.,No.,1
157,Yes.,Yes.,1
158,No.,Yes.,0
159,Yes.,Yes.,1
160,No.,Yes.,0
161,Yes.,No.,0
162,No.,Yes.,0
163,Yes.,No.,0
164,No.,Yes.,0
165,Yes.,Yes.,1
166,No.,Yes.,0
167,Yes.,Yes.,1
168,No.,Yes.,0
169,Yes.,No.,0
170,No.,No.,1
171,Yes.,Yes.,1
172,No.,No.,1
173,Yes.,Yes.,1
174,No.,Yes.,0
175,Yes.,Yes.,1
176,No.,Yes.,0
177,Yes.,Yes.,1
178,No.,No.,1
179,Yes.,No.,0
180,No.,No.,1
181,Yes.,Yes.,1
182,No.,Yes.,0
183,Yes.,No.,0
184,No.,Yes.,0
185,Yes.,No.,0
186,No.,No.,1
187,Yes.,Yes.,1
188,No.,No.,1
189,Yes.,Yes.,1
190,No.,Yes.,0
191,Yes.,Yes.,1
192,No.,No.,1
193,Yes.,No.,0
194,No.,No.,1
195,Yes.,Yes.,1
196,No.,No.,1
197,Yes.,Yes.,1
198,No.,Yes.,0
199,Yes.,Yes.,1
200,No.,No.,1
201,Yes.,Yes.,1
202,No.,Yes.,0
203,Yes.,Yes.,1
204,No.,Yes.,0
205,Yes.,No.,0
206,No.,No.,1
207,Yes.,No.,0
208,No.,No.,1
209,Yes.,Yes.,1
210,No.,No.,1
211,Yes.,No.,0
212,No.,Yes.,0
213,Yes.,Yes.,1
214,No.,Yes.,0
215,Yes.,Yes.,1
216,No.,No.,1
217,Yes.,No.,0
218,No.,Yes.,0
219,Yes.,Yes.,1
220,No.,Yes.,0
221,Yes.,No.,0
222,No.,No.,1
223,Yes.,Yes.,1
224,No.,No.,1
225,Yes.,Yes.,1
226,No.,No.,1
227,Yes.,Yes.,1
228,No.,Yes.,0
229,Yes.,Yes.,1
230,No.,No.,1
231,Yes.,Yes.,1
232,No.,Yes.,0
233,Yes.,Yes.,1
234,No.,Yes.,0
235,Yes.,Yes.,1
236,No.,No.,1
237,Yes.,No.,0
238,No.,No.,1
239,Yes.,Yes.,1
240,No.,No.,1
241,Yes.,Yes.,1
242,No.,Yes.,0
243,Yes.,Yes.,1
244,No.,Yes.,0
245,Yes.,Yes.,1
246,No.,No.,1
247,Yes.,Yes.,1
248,No.,Yes.,0
249,Yes.,No.,0
250,No.,No.,1
251,Yes.,Yes.,1
252,No.,Yes.,0
253,Yes.,No.,0
254,No.,Yes.,0
255,Yes.,No.,0
256,No.,Yes.,0
257,Yes.,Yes.,1
258,No.,Yes.,0
259,Yes.,No.,0
260,No.,Yes.,0
261,Yes.,Yes.,1
262,No.,No.,1
263,Yes.,No.,0
264,No.,Yes.,0
265,Yes.,No.,0
266,No.,Yes.,0
267,Yes.,No.,0
268,No.,Yes.,0
