ID,Label,Prediction,Result
1,No.,No.,1
2,Yes.,Yes.,1
3,Yes.,Yes.,1
4,Yes.,No.,0
5,No.,No.,1
6,Yes.,No.,0
7,No.,No.,1
8,Yes.,No.,0
9,Yes.,Yes.,1
10,Yes.,Yes.,1
11,Yes.,Yes.,1
12,Yes.,No.,0
13,Yes.,Yes.,1
14,Yes.,No.,0
15,Yes.,Yes.,1
16,Yes.,Yes.,1
17,No.,No.,1
18,Yes.,Yes.,1
19,Yes.,No.,0
20,Yes.,No.,0
21,Yes.,No.,0
22,Yes.,Yes.,1
23,Yes.,No.,0
24,Yes.,No.,0
25,Yes.,No.,0
26,Yes.,No.,0
27,Yes.,Yes.,1
28,No.,No.,1
29,Yes.,Yes.,1
30,No.,No.,1
31,No.,Yes.,0
32,Yes.,Yes.,1
33,No.,No.,1
34,No.,No.,1
35,Yes.,No.,0
36,Yes.,No.,0
37,No.,No.,1
38,Yes.,No.,0
39,No.,No.,1
40,No.,No.,1
41,Yes.,Yes.,1
42,No.,No.,1
43,No.,No.,1
44,No.,Yes.,0
45,No.,No.,1
46,No.,No.,1
47,No.,No.,1
48,No.,No.,1
49,Yes.,Yes.,1
50,No.,No.,1
51,No.,Yes.,0
52,Yes.,Yes.,1
53,Yes.,No.,0
54,No.,Yes.,0
55,No.,No.,1
56,Yes.,Yes.,1
57,No.,Yes.,0
58,No.,No.,1
59,No.,Yes.,0
60,Yes.,No.,0
61,No.,Yes.,0
62,No.,Yes.,0
63,Yes.,Yes.,1
64,Yes.,Yes.,1
65,No.,No.,1
66,Yes.,Yes.,1
67,Yes.,No.,0
68,Yes.,Yes.,1
69,Yes.,No.,0
70,Yes.,Yes.,1
71,No.,Yes.,0
72,Yes.,Yes.,1
73,Yes.,No.,0
74,Yes.,Yes.,1
75,No.,Yes.,0
76,No.,Yes.,0
77,No.,No.,1
78,No.,No.,1
79,No.,Yes.,0
80,No.,Yes.,0
81,No.,No.,1
82,Yes.,No.,0
83,Yes.,No.,0
84,Yes.,Yes.,1
85,Yes.,Yes.,1
86,No.,No.,1
87,No.,No.,1
88,Yes.,No.,0
89,Yes.,Yes.,1
90,No.,Yes.,0
91,No.,No.,1
92,No.,No.,1
93,Yes.,No.,0
94,No.,Yes.,0
95,Yes.,No.,0
96,Yes.,Yes.,1
97,Yes.,Yes.,1
98,Yes.,Yes.,1
99,No.,Yes.,0
100,No.,Yes.,0
101,No.,Yes.,0
102,No.,Yes.,0
103,Yes.,Yes.,1
104,No.,Yes.,0
105,No.,Yes.,0
106,Yes.,No.,0
107,No.,Yes.,0
108,No.,No.,1
109,No.,No.,1
110,Yes.,Yes.,1
111,Yes.,No.,0
112,Yes.,Yes.,1
113,No.,No.,1
114,No.,No.,1
115,Yes.,Yes.,1
116,No.,No.,1
117,Yes.,No.,0
118,No.,No.,1
119,Yes.,Yes.,1
120,No.,No.,1
121,No.,No.,1
122,No.,No.,1
123,No.,No.,1
124,No.,No.,1
125,No.,No.,1
126,Yes.,No.,0
127,Yes.,No.,0
128,No.,Yes.,0
129,Yes.,No.,0
130,No.,Yes.,0
131,Yes.,Yes.,1
132,Yes.,Yes.,1
133,Yes.,No.,0
134,No.,Yes.,0
135,No.,No.,1
136,Yes.,Yes.,1
137,No.,Yes.,0
138,No.,Yes.,0
139,Yes.,Yes.,1
140,Yes.,Yes.,1
141,Yes.,No.,0
142,No.,No.,1
143,No.,No.,1
144,No.,No.,1
145,Yes.,No.,0
146,No.,Yes.,0
147,No.,No.,1
148,No.,No.,1
149,No.,No.,1
150,No.,Yes.,0
151,No.,No.,1
152,No.,No.,1
153,No.,No.,1
154,No.,No.,1
155,No.,No.,1
156,No.,No.,1
157,No.,No.,1
158,No.,No.,1
159,No.,Yes.,0
160,No.,Yes.,0
161,No.,No.,1
162,No.,Yes.,0
163,No.,Yes.,0
164,No.,Yes.,0
165,No.,No.,1
166,No.,No.,1
167,No.,No.,1
168,No.,Yes.,0
169,No.,No.,1
170,No.,Yes.,0
171,No.,No.,1
172,No.,Yes.,0
173,Yes.,Yes.,1
174,No.,No.,1
175,No.,No.,1
176,No.,No.,1
177,No.,No.,1
178,No.,No.,1
179,No.,No.,1
180,No.,No.,1
181,No.,No.,1
182,No.,No.,1
183,No.,No.,1
184,No.,Yes.,0
185,No.,Yes.,0
186,No.,Yes.,0
187,No.,No.,1
188,No.,No.,1
189,No.,No.,1
190,No.,No.,1
191,No.,No.,1
192,No.,No.,1
193,No.,Yes.,0
194,No.,No.,1
195,No.,No.,1
196,No.,No.,1
197,No.,No.,1
198,No.,Yes.,0
199,No.,No.,1
200,No.,No.,1
201,No.,Yes.,0
202,No.,Yes.,0
203,No.,Yes.,0
204,No.,No.,1
205,No.,Yes.,0
206,No.,Yes.,0
207,No.,Yes.,0
208,No.,Yes.,0
209,No.,Yes.,0
210,No.,Yes.,0
211,No.,Yes.,0
212,No.,Yes.,0
213,No.,Yes.,0
214,No.,No.,1
215,No.,Yes.,0
216,No.,No.,1
217,No.,Yes.,0
218,No.,Yes.,0
219,No.,No.,1
220,No.,Yes.,0
221,No.,No.,1
222,No.,No.,1
223,No.,No.,1
224,No.,No.,1
225,No.,No.,1
226,Yes.,Yes.,1
227,Yes.,No.,0
228,Yes.,Yes.,1
229,Yes.,Yes.,1
230,Yes.,No.,0
231,Yes.,No.,0
232,Yes.,Yes.,1
233,Yes.,Yes.,1
234,No.,No.,1
235,Yes.,Yes.,1
236,Yes.,Yes.,1
237,Yes.,Yes.,1
238,Yes.,Yes.,1
239,No.,No.,1
240,Yes.,Yes.,1
241,Yes.,Yes.,1
242,Yes.,No.,0
243,Yes.,Yes.,1
244,No.,No.,1
245,Yes.,Yes.,1
246,Yes.,No.,0
247,Yes.,Yes.,1
248,Yes.,Yes.,1
249,Yes.,Yes.,1
250,Yes.,Yes.,1
251,Yes.,Yes.,1
252,Yes.,Yes.,1
253,No.,Yes.,0
254,Yes.,No.,0
255,No.,No.,1
256,No.,No.,1
257,No.,Yes.,0
258,No.,No.,1
259,No.,Yes.,0
260,No.,Yes.,0
261,No.,No.,1
262,No.,No.,1
263,No.,No.,1
264,Yes.,Yes.,1
265,Yes.,Yes.,1
266,No.,No.,1
267,No.,No.,1
268,Yes.,No.,0
269,Yes.,Yes.,1
270,Yes.,Yes.,1
271,Yes.,No.,0
272,Yes.,Yes.,1
273,No.,Yes.,0
274,No.,No.,1
275,No.,Yes.,0
276,Yes.,No.,0
277,No.,No.,1
278,Yes.,No.,0
279,No.,Yes.,0
280,Yes.,No.,0
281,Yes.,Yes.,1
282,No.,No.,1
283,No.,Yes.,0
284,No.,No.,1
285,No.,No.,1
286,Yes.,Yes.,1
287,No.,Yes.,0
288,Yes.,No.,0
289,Yes.,No.,0
290,No.,No.,1
291,No.,Yes.,0
292,No.,No.,1
293,Yes.,Yes.,1
294,No.,No.,1
295,Yes.,No.,0
296,No.,Yes.,0
297,Yes.,No.,0
298,Yes.,No.,0
299,Yes.,No.,0
300,Yes.,Yes.,1
301,Yes.,No.,0
302,Yes.,No.,0
303,Yes.,Yes.,1
304,No.,Yes.,0
305,Yes.,No.,0
306,No.,No.,1
307,No.,Yes.,0
308,No.,No.,1
309,No.,Yes.,0
310,Yes.,Yes.,1
311,Yes.,Yes.,1
312,No.,Yes.,0
313,No.,Yes.,0
314,Yes.,No.,0
315,No.,No.,1
316,Yes.,Yes.,1
317,Yes.,Yes.,1
318,No.,Yes.,0
319,No.,No.,1
320,No.,Yes.,0
321,No.,No.,1
322,Yes.,Yes.,1
323,No.,No.,1
324,Yes.,No.,0
325,No.,No.,1
326,No.,No.,1
327,Yes.,No.,0
328,Yes.,No.,0
329,No.,No.,1
330,No.,Yes.,0
331,Yes.,Yes.,1
332,No.,Yes.,0
333,No.,No.,1
334,No.,No.,1
335,No.,No.,1
336,Yes.,No.,0
337,Yes.,Yes.,1
338,No.,Yes.,0
339,No.,No.,1
340,No.,Yes.,0
341,No.,No.,1
342,Yes.,Yes.,1
343,No.,No.,1
344,Yes.,No.,0
345,No.,No.,1
346,No.,Yes.,0
347,No.,No.,1
348,Yes.,No.,0
349,No.,No.,1
350,No.,No.,1
351,No.,No.,1
352,No.,No.,1
353,No.,No.,1
354,No.,No.,1
355,No.,No.,1
356,Yes.,Yes.,1
357,Yes.,Yes.,1
358,Yes.,No.,0
359,Yes.,Yes.,1
360,Yes.,Yes.,1
361,Yes.,Yes.,1
362,Yes.,Yes.,1
363,Yes.,Yes.,1
364,Yes.,No.,0
365,Yes.,Yes.,1
366,Yes.,No.,0
367,Yes.,No.,0
368,Yes.,No.,0
369,Yes.,No.,0
370,No.,No.,1
371,Yes.,Yes.,1
372,Yes.,Yes.,1
373,No.,Yes.,0
374,No.,Yes.,0
375,Yes.,Yes.,1
376,Yes.,Yes.,1
377,No.,No.,1
378,Yes.,Yes.,1
379,Yes.,Yes.,1
380,Yes.,No.,0
381,No.,No.,1
382,Yes.,Yes.,1
383,No.,No.,1
384,No.,Yes.,0
385,Yes.,Yes.,1
386,Yes.,No.,0
387,Yes.,Yes.,1
388,No.,Yes.,0
389,Yes.,No.,0
390,No.,Yes.,0
391,No.,Yes.,0
392,Yes.,Yes.,1
393,Yes.,No.,0
394,Yes.,No.,0
395,Yes.,No.,0
396,Yes.,Yes.,1
397,Yes.,No.,0
398,No.,Yes.,0
399,No.,Yes.,0
400,Yes.,No.,0
401,Yes.,Yes.,1
402,Yes.,Yes.,1
403,Yes.,Yes.,1
404,Yes.,Yes.,1
405,No.,Yes.,0
406,No.,No.,1
407,No.,No.,1
408,No.,Yes.,0
409,No.,No.,1
410,Yes.,No.,0
411,No.,No.,1
412,No.,No.,1
413,No.,Yes.,0
414,No.,Yes.,0
415,Yes.,No.,0
416,Yes.,Yes.,1
417,Yes.,No.,0
418,No.,Yes.,0
419,No.,No.,1
420,Yes.,Yes.,1
421,Yes.,No.,0
422,Yes.,No.,0
423,No.,Yes.,0
424,No.,No.,1
425,No.,Yes.,0
426,No.,No.,1
427,Yes.,No.,0
428,No.,No.,1
429,Yes.,No.,0
430,No.,No.,1
431,Yes.,Yes.,1
432,No.,Yes.,0
433,No.,No.,1
434,No.,No.,1
435,No.,No.,1
436,Yes.,Yes.,1
437,Yes.,No.,0
438,Yes.,No.,0
439,Yes.,No.,0
440,Yes.,Yes.,1
441,Yes.,No.,0
442,No.,No.,1
443,No.,Yes.,0
444,Yes.,Yes.,1
445,No.,No.,1
446,Yes.,Yes.,1
447,No.,No.,1
448,No.,No.,1
449,Yes.,Yes.,1
450,Yes.,Yes.,1
451,Yes.,Yes.,1
452,Yes.,No.,0
453,Yes.,No.,0
454,Yes.,No.,0
455,Yes.,Yes.,1
456,No.,No.,1
457,Yes.,Yes.,1
458,Yes.,No.,0
459,Yes.,Yes.,1
460,No.,Yes.,0
