ID,Label,Prediction,Result
1,Yes.,Yes.,1
2,No.,No.,1
3,Yes.,Yes.,1
4,No.,No.,1
5,Yes.,Yes.,1
6,No.,No.,1
7,Yes.,No.,0
8,No.,No.,1
9,Yes.,No.,0
10,No.,No.,1
11,Yes.,Yes.,1
12,No.,No.,1
13,Yes.,Yes.,1
14,No.,No.,1
15,Yes.,Yes.,1
16,No.,No.,1
17,Yes.,Yes.,1
18,No.,Yes.,0
19,Yes.,Yes.,1
20,No.,No.,1
21,Yes.,No.,0
22,No.,Yes.,0
23,Yes.,Yes.,1
24,No.,No.,1
25,Yes.,Yes.,1
26,No.,No.,1
27,Yes.,Yes.,1
28,No.,No.,1
29,Yes.,Yes.,1
30,No.,No.,1
31,Yes.,Yes.,1
32,No.,Yes.,0
33,Yes.,Yes.,1
34,No.,No.,1
35,Yes.,Yes.,1
36,No.,No.,1
37,Yes.,No.,0
38,No.,Yes.,0
39,Yes.,Yes.,1
40,No.,No.,1
41,Yes.,Yes.,1
42,No.,Yes.,0
43,Yes.,No.,0
44,No.,Yes.,0
45,Yes.,Yes.,1
46,No.,Yes.,0
47,Yes.,Yes.,1
48,No.,No.,1
49,Yes.,No.,0
50,No.,No.,1
51,Yes.,Yes.,1
52,No.,Yes.,0
53,Yes.,No.,0
54,No.,Yes.,0
55,Yes.,Yes.,1
56,No.,No.,1
57,Yes.,Yes.,1
58,No.,No.,1
59,Yes.,No.,0
60,No.,Yes.,0
61,Yes.,Yes.,1
62,No.,No.,1
63,Yes.,Yes.,1
64,No.,No.,1
65,Yes.,Yes.,1
66,No.,No.,1
67,Yes.,Yes.,1
68,No.,No.,1
69,Yes.,Yes.,1
70,No.,No.,1
71,Yes.,Yes.,1
72,No.,Yes.,0
73,Yes.,Yes.,1
74,No.,No.,1
75,Yes.,Yes.,1
76,No.,No.,1
77,Yes.,Yes.,1
78,No.,No.,1
79,Yes.,Yes.,1
80,No.,Yes.,0
81,Yes.,No.,0
82,No.,Yes.,0
83,Yes.,Yes.,1
84,No.,No.,1
85,Yes.,Yes.,1
86,No.,No.,1
87,Yes.,Yes.,1
88,No.,Yes.,0
89,Yes.,Yes.,1
90,No.,No.,1
