ID,Label,Prediction,Result
1,Yes.,Yes.,1
2,No.,Yes.,0
3,Yes.,Yes.,1
4,No.,No.,1
5,Yes.,Yes.,1
6,No.,Yes.,0
7,Yes.,No.,0
8,No.,No.,1
9,Yes.,Yes.,1
10,No.,Yes.,0
11,Yes.,No.,0
12,No.,Yes.,0
13,Yes.,No.,0
14,No.,Yes.,0
15,Yes.,Yes.,1
16,No.,Yes.,0
17,Yes.,Yes.,1
18,No.,Yes.,0
19,Yes.,Yes.,1
20,No.,Yes.,0
21,Yes.,Yes.,1
22,No.,Yes.,0
23,Yes.,Yes.,1
24,No.,Yes.,0
25,Yes.,Yes.,1
26,No.,Yes.,0
27,Yes.,Yes.,1
28,No.,Yes.,0
29,Yes.,Yes.,1
30,No.,No.,1
31,Yes.,No.,0
32,No.,Yes.,0
33,Yes.,Yes.,1
34,No.,No.,1
35,Yes.,Yes.,1
36,No.,Yes.,0
37,Yes.,Yes.,1
38,No.,Yes.,0
39,Yes.,Yes.,1
40,No.,Yes.,0
41,Yes.,No.,0
42,No.,Yes.,0
43,Yes.,Yes.,1
44,No.,Yes.,0
45,Yes.,Yes.,1
46,No.,Yes.,0
47,Yes.,No.,0
48,No.,Yes.,0
49,Yes.,Yes.,1
50,No.,Yes.,0
51,Yes.,Yes.,1
52,No.,No.,1
53,Yes.,Yes.,1
54,No.,Yes.,0
55,Yes.,Yes.,1
56,No.,Yes.,0
57,Yes.,Yes.,1
58,No.,No.,1
59,Yes.,Yes.,1
60,No.,No.,1
61,Yes.,Yes.,1
62,No.,Yes.,0
63,Yes.,Yes.,1
64,No.,Yes.,0
65,Yes.,No.,0
66,No.,Yes.,0
67,Yes.,Yes.,1
68,No.,Yes.,0
69,Yes.,Yes.,1
70,No.,No.,1
71,Yes.,Yes.,1
72,No.,Yes.,0
73,Yes.,Yes.,1
74,No.,No.,1
75,Yes.,No.,0
76,No.,Yes.,0
77,Yes.,No.,0
78,No.,No.,1
79,Yes.,Yes.,1
80,No.,No.,1
81,Yes.,Yes.,1
82,No.,Yes.,0
83,Yes.,Yes.,1
84,No.,Yes.,0
85,Yes.,Yes.,1
86,No.,Yes.,0
87,Yes.,Yes.,1
88,No.,Yes.,0
89,Yes.,No.,0
90,No.,Yes.,0
91,Yes.,Yes.,1
92,No.,Yes.,0
93,Yes.,Yes.,1
94,No.,Yes.,0
95,Yes.,Yes.,1
96,No.,No.,1
97,Yes.,Yes.,1
98,No.,Yes.,0
99,Yes.,Yes.,1
100,No.,Yes.,0
101,Yes.,Yes.,1
102,No.,No.,1
103,Yes.,Yes.,1
104,No.,No.,1
105,Yes.,No.,0
106,No.,No.,1
107,Yes.,Yes.,1
108,No.,Yes.,0
109,Yes.,Yes.,1
110,No.,Yes.,0
111,Yes.,Yes.,1
112,No.,Yes.,0
113,Yes.,Yes.,1
114,No.,Yes.,0
115,Yes.,No.,0
116,No.,No.,1
117,Yes.,Yes.,1
118,No.,No.,1
119,Yes.,Yes.,1
120,No.,Yes.,0
121,Yes.,Yes.,1
122,No.,No.,1
123,Yes.,Yes.,1
124,No.,Yes.,0
125,Yes.,No.,0
126,No.,Yes.,0
127,Yes.,Yes.,1
128,No.,Yes.,0
129,Yes.,Yes.,1
130,No.,Yes.,0
131,Yes.,Yes.,1
132,No.,No.,1
133,Yes.,Yes.,1
134,No.,Yes.,0
135,Yes.,Yes.,1
136,No.,No.,1
137,Yes.,Yes.,1
138,No.,Yes.,0
139,Yes.,Yes.,1
140,No.,Yes.,0
141,Yes.,Yes.,1
142,No.,Yes.,0
143,Yes.,Yes.,1
144,No.,Yes.,0
145,Yes.,Yes.,1
146,No.,Yes.,0
147,Yes.,Yes.,1
148,No.,Yes.,0
149,Yes.,Yes.,1
150,No.,Yes.,0
151,Yes.,No.,0
152,No.,No.,1
153,Yes.,Yes.,1
154,No.,Yes.,0
155,Yes.,Yes.,1
156,No.,Yes.,0
157,Yes.,No.,0
158,No.,Yes.,0
159,Yes.,Yes.,1
160,No.,Yes.,0
161,Yes.,No.,0
162,No.,Yes.,0
163,Yes.,No.,0
164,No.,Yes.,0
165,Yes.,Yes.,1
166,No.,Yes.,0
167,Yes.,Yes.,1
168,No.,Yes.,0
169,Yes.,Yes.,1
170,No.,Yes.,0
171,Yes.,Yes.,1
172,No.,No.,1
173,Yes.,Yes.,1
174,No.,Yes.,0
175,Yes.,Yes.,1
176,No.,Yes.,0
177,Yes.,Yes.,1
178,No.,Yes.,0
179,Yes.,Yes.,1
180,No.,Yes.,0
181,Yes.,Yes.,1
182,No.,No.,1
183,Yes.,Yes.,1
184,No.,No.,1
185,Yes.,Yes.,1
186,No.,No.,1
187,Yes.,No.,0
188,No.,Yes.,0
189,Yes.,Yes.,1
190,No.,No.,1
191,Yes.,Yes.,1
192,No.,Yes.,0
193,Yes.,Yes.,1
194,No.,Yes.,0
195,Yes.,Yes.,1
196,No.,No.,1
197,Yes.,Yes.,1
198,No.,Yes.,0
199,Yes.,Yes.,1
200,No.,Yes.,0
201,Yes.,Yes.,1
202,No.,No.,1
203,Yes.,Yes.,1
204,No.,Yes.,0
205,Yes.,Yes.,1
206,No.,Yes.,0
207,Yes.,Yes.,1
208,No.,Yes.,0
209,Yes.,Yes.,1
210,No.,Yes.,0
211,Yes.,Yes.,1
212,No.,Yes.,0
213,Yes.,No.,0
214,No.,Yes.,0
215,Yes.,Yes.,1
216,No.,Yes.,0
217,Yes.,Yes.,1
218,No.,No.,1
219,Yes.,Yes.,1
220,No.,Yes.,0
221,Yes.,Yes.,1
222,No.,Yes.,0
223,Yes.,Yes.,1
224,No.,No.,1
225,Yes.,Yes.,1
226,No.,Yes.,0
227,Yes.,Yes.,1
228,No.,Yes.,0
229,Yes.,Yes.,1
230,No.,No.,1
231,Yes.,No.,0
232,No.,No.,1
233,Yes.,Yes.,1
234,No.,Yes.,0
235,Yes.,Yes.,1
236,No.,Yes.,0
237,Yes.,Yes.,1
238,No.,Yes.,0
239,Yes.,Yes.,1
240,No.,Yes.,0
241,Yes.,No.,0
242,No.,Yes.,0
243,Yes.,No.,0
244,No.,Yes.,0
245,Yes.,No.,0
246,No.,Yes.,0
247,Yes.,Yes.,1
248,No.,No.,1
249,Yes.,Yes.,1
250,No.,Yes.,0
251,Yes.,Yes.,1
252,No.,No.,1
253,Yes.,Yes.,1
254,No.,Yes.,0
255,Yes.,Yes.,1
256,No.,Yes.,0
257,Yes.,Yes.,1
258,No.,Yes.,0
259,Yes.,No.,0
