ID,Label,Prediction,Result
1,Yes.,Yes.,1
2,No.,Yes.,0
3,Yes.,No.,0
4,No.,No.,1
5,Yes.,Yes.,1
6,No.,No.,1
7,Yes.,Yes.,1
8,No.,No.,1
9,Yes.,Yes.,1
10,No.,Yes.,0
11,Yes.,Yes.,1
12,No.,No.,1
13,Yes.,Yes.,1
14,No.,No.,1
15,Yes.,Yes.,1
16,No.,No.,1
17,Yes.,No.,0
18,No.,Yes.,0
19,Yes.,No.,0
20,No.,No.,1
21,Yes.,No.,0
22,No.,No.,1
23,Yes.,No.,0
24,No.,No.,1
25,Yes.,Yes.,1
26,No.,No.,1
27,Yes.,No.,0
28,No.,No.,1
29,Yes.,Yes.,1
30,No.,No.,1
31,Yes.,Yes.,1
32,No.,Yes.,0
33,Yes.,Yes.,1
34,No.,Yes.,0
35,Yes.,Yes.,1
36,No.,No.,1
37,Yes.,Yes.,1
38,No.,No.,1
39,Yes.,No.,0
40,No.,Yes.,0
41,Yes.,No.,0
42,No.,No.,1
43,Yes.,Yes.,1
44,No.,Yes.,0
45,Yes.,No.,0
46,No.,No.,1
47,Yes.,No.,0
48,No.,No.,1
49,Yes.,Yes.,1
50,No.,No.,1
51,Yes.,No.,0
52,No.,No.,1
53,Yes.,Yes.,1
54,No.,No.,1
55,Yes.,Yes.,1
56,No.,No.,1
57,Yes.,Yes.,1
58,No.,No.,1
59,Yes.,No.,0
60,No.,No.,1
61,Yes.,No.,0
62,No.,No.,1
63,Yes.,Yes.,1
64,No.,No.,1
65,Yes.,No.,0
66,No.,Yes.,0
67,Yes.,Yes.,1
68,No.,No.,1
69,Yes.,Yes.,1
70,No.,No.,1
71,Yes.,Yes.,1
72,No.,Yes.,0
73,Yes.,No.,0
74,No.,No.,1
75,Yes.,No.,0
76,No.,No.,1
77,Yes.,Yes.,1
78,No.,No.,1
79,Yes.,No.,0
80,No.,No.,1
81,Yes.,No.,0
82,No.,Yes.,0
83,Yes.,No.,0
84,No.,No.,1
85,Yes.,Yes.,1
86,No.,No.,1
87,Yes.,No.,0
88,No.,Yes.,0
89,Yes.,No.,0
90,No.,No.,1
91,Yes.,No.,0
92,No.,No.,1
93,Yes.,No.,0
94,No.,No.,1
95,Yes.,Yes.,1
96,No.,No.,1
97,Yes.,No.,0
98,No.,Yes.,0
99,Yes.,No.,0
100,No.,No.,1
101,Yes.,Yes.,1
102,No.,No.,1
103,Yes.,Yes.,1
104,No.,No.,1
105,Yes.,Yes.,1
106,No.,No.,1
107,Yes.,No.,0
108,No.,Yes.,0
109,Yes.,No.,0
110,No.,Yes.,0
111,Yes.,Yes.,1
112,No.,Yes.,0
113,Yes.,Yes.,1
114,No.,Yes.,0
115,Yes.,Yes.,1
116,No.,No.,1
117,Yes.,No.,0
118,No.,Yes.,0
119,Yes.,Yes.,1
120,No.,No.,1
121,Yes.,Yes.,1
122,No.,Yes.,0
123,Yes.,No.,0
124,No.,Yes.,0
125,Yes.,Yes.,1
126,No.,No.,1
127,Yes.,No.,0
128,No.,No.,1
129,Yes.,Yes.,1
130,No.,No.,1
131,Yes.,Yes.,1
132,No.,No.,1
133,Yes.,No.,0
134,No.,No.,1
135,Yes.,Yes.,1
136,No.,Yes.,0
137,Yes.,No.,0
138,No.,No.,1
139,Yes.,No.,0
140,No.,No.,1
141,Yes.,Yes.,1
142,No.,No.,1
143,Yes.,No.,0
144,No.,No.,1
145,Yes.,No.,0
146,No.,No.,1
147,Yes.,Yes.,1
148,No.,Yes.,0
149,Yes.,No.,0
150,No.,Yes.,0
151,Yes.,Yes.,1
152,No.,Yes.,0
153,Yes.,Yes.,1
154,No.,Yes.,0
155,Yes.,Yes.,1
156,No.,No.,1
157,Yes.,Yes.,1
158,No.,No.,1
159,Yes.,Yes.,1
160,No.,Yes.,0
161,Yes.,Yes.,1
162,No.,No.,1
163,Yes.,No.,0
164,No.,No.,1
165,Yes.,Yes.,1
166,No.,No.,1
167,Yes.,Yes.,1
168,No.,No.,1
169,Yes.,No.,0
170,No.,No.,1
171,Yes.,No.,0
172,No.,No.,1
173,Yes.,Yes.,1
174,No.,No.,1
175,Yes.,Yes.,1
176,No.,No.,1
177,Yes.,Yes.,1
178,No.,No.,1
179,Yes.,Yes.,1
180,No.,No.,1
181,Yes.,No.,0
182,No.,No.,1
183,Yes.,Yes.,1
184,No.,No.,1
185,Yes.,No.,0
186,No.,No.,1
187,Yes.,No.,0
188,No.,Yes.,0
189,Yes.,Yes.,1
190,No.,Yes.,0
191,Yes.,No.,0
192,No.,No.,1
193,Yes.,Yes.,1
194,No.,No.,1
195,Yes.,No.,0
196,No.,Yes.,0
197,Yes.,Yes.,1
198,No.,No.,1
199,Yes.,Yes.,1
200,No.,No.,1
201,Yes.,Yes.,1
202,No.,No.,1
203,Yes.,Yes.,1
204,No.,Yes.,0
205,Yes.,Yes.,1
206,No.,No.,1
207,Yes.,No.,0
208,No.,No.,1
209,Yes.,No.,0
210,No.,Yes.,0
211,Yes.,Yes.,1
212,No.,No.,1
213,Yes.,Yes.,1
214,No.,Yes.,0
215,Yes.,Yes.,1
216,No.,No.,1
217,Yes.,No.,0
218,No.,No.,1
219,Yes.,Yes.,1
220,No.,No.,1
221,Yes.,Yes.,1
222,No.,No.,1
223,Yes.,Yes.,1
224,No.,No.,1
225,Yes.,Yes.,1
226,No.,No.,1
227,Yes.,Yes.,1
228,No.,Yes.,0
229,Yes.,Yes.,1
230,No.,Yes.,0
231,Yes.,Yes.,1
232,No.,No.,1
233,Yes.,Yes.,1
234,No.,No.,1
235,Yes.,Yes.,1
236,No.,No.,1
237,Yes.,Yes.,1
238,No.,No.,1
239,Yes.,No.,0
240,No.,No.,1
241,Yes.,Yes.,1
242,No.,Yes.,0
243,Yes.,No.,0
244,No.,Yes.,0
245,Yes.,Yes.,1
246,No.,No.,1
247,Yes.,No.,0
248,No.,Yes.,0
249,Yes.,Yes.,1
250,No.,No.,1
251,Yes.,Yes.,1
252,No.,No.,1
253,Yes.,Yes.,1
254,No.,Yes.,0
255,Yes.,Yes.,1
256,No.,Yes.,0
257,Yes.,Yes.,1
258,No.,Yes.,0
259,Yes.,No.,0
260,No.,No.,1
261,Yes.,No.,0
262,No.,Yes.,0
263,Yes.,No.,0
264,No.,Yes.,0
265,Yes.,Yes.,1
266,No.,No.,1
267,Yes.,Yes.,1
268,No.,No.,1
269,Yes.,Yes.,1
270,No.,No.,1
271,Yes.,No.,0
272,No.,No.,1
273,Yes.,Yes.,1
