ID,Label,Prediction,Result
1,No.,Yes.,0
2,Yes.,Yes.,1
3,Yes.,Yes.,1
4,Yes.,Yes.,1
5,No.,Yes.,0
6,Yes.,No.,0
7,No.,Yes.,0
8,Yes.,Yes.,1
9,Yes.,Yes.,1
10,Yes.,Yes.,1
11,Yes.,Yes.,1
12,Yes.,Yes.,1
13,Yes.,Yes.,1
14,Yes.,Yes.,1
15,Yes.,Yes.,1
16,Yes.,Yes.,1
17,No.,Yes.,0
18,Yes.,Yes.,1
19,Yes.,No.,0
20,Yes.,No.,0
21,Yes.,Yes.,1
22,Yes.,Yes.,1
23,Yes.,Yes.,1
24,Yes.,Yes.,1
25,Yes.,Yes.,1
26,Yes.,No.,0
27,Yes.,Yes.,1
28,No.,No.,1
29,Yes.,Yes.,1
30,No.,No.,1
31,No.,Yes.,0
32,Yes.,Yes.,1
33,No.,Yes.,0
34,No.,Yes.,0
35,Yes.,No.,0
36,Yes.,No.,0
37,No.,No.,1
38,Yes.,No.,0
39,No.,Yes.,0
40,No.,No.,1
41,Yes.,Yes.,1
42,No.,No.,1
43,No.,No.,1
44,No.,No.,1
45,No.,No.,1
46,No.,No.,1
47,No.,No.,1
48,No.,No.,1
49,Yes.,No.,0
50,No.,No.,1
51,No.,Yes.,0
52,Yes.,Yes.,1
53,Yes.,Yes.,1
54,No.,Yes.,0
55,No.,Yes.,0
56,Yes.,Yes.,1
57,No.,Yes.,0
58,No.,No.,1
59,No.,Yes.,0
60,Yes.,Yes.,1
61,No.,Yes.,0
62,No.,Yes.,0
63,Yes.,Yes.,1
64,Yes.,Yes.,1
65,No.,No.,1
66,Yes.,No.,0
67,Yes.,Yes.,1
68,Yes.,Yes.,1
69,Yes.,No.,0
70,Yes.,Yes.,1
71,No.,Yes.,0
72,Yes.,Yes.,1
73,Yes.,No.,0
74,Yes.,Yes.,1
75,No.,Yes.,0
76,No.,Yes.,0
77,No.,Yes.,0
78,No.,Yes.,0
79,No.,Yes.,0
80,No.,Yes.,0
81,No.,No.,1
82,Yes.,Yes.,1
83,Yes.,Yes.,1
84,Yes.,Yes.,1
85,Yes.,Yes.,1
86,No.,No.,1
87,No.,No.,1
88,Yes.,No.,0
89,Yes.,Yes.,1
90,No.,Yes.,0
91,No.,Yes.,0
92,No.,No.,1
93,Yes.,Yes.,1
94,No.,Yes.,0
95,Yes.,Yes.,1
96,Yes.,Yes.,1
97,Yes.,No.,0
98,Yes.,Yes.,1
99,No.,Yes.,0
100,No.,Yes.,0
101,No.,Yes.,0
102,No.,Yes.,0
103,Yes.,Yes.,1
104,No.,No.,1
105,No.,Yes.,0
106,Yes.,No.,0
107,No.,No.,1
108,No.,No.,1
109,No.,No.,1
110,Yes.,No.,0
111,Yes.,Yes.,1
112,Yes.,Yes.,1
113,No.,Yes.,0
114,No.,No.,1
115,Yes.,Yes.,1
116,No.,No.,1
117,Yes.,No.,0
118,No.,No.,1
119,Yes.,No.,0
120,No.,No.,1
121,No.,No.,1
122,No.,No.,1
123,No.,Yes.,0
124,No.,No.,1
125,No.,No.,1
126,Yes.,Yes.,1
127,Yes.,No.,0
128,No.,Yes.,0
129,Yes.,No.,0
130,No.,No.,1
131,Yes.,Yes.,1
132,Yes.,No.,0
133,Yes.,Yes.,1
134,No.,Yes.,0
135,No.,No.,1
136,Yes.,Yes.,1
137,No.,No.,1
138,No.,No.,1
139,Yes.,No.,0
140,Yes.,Yes.,1
141,Yes.,Yes.,1
142,No.,Yes.,0
143,No.,No.,1
144,No.,No.,1
145,Yes.,Yes.,1
146,No.,Yes.,0
147,No.,No.,1
148,No.,Yes.,0
149,No.,Yes.,0
150,No.,Yes.,0
151,No.,No.,1
152,No.,No.,1
153,No.,No.,1
154,No.,No.,1
155,No.,No.,1
156,No.,No.,1
157,No.,No.,1
158,No.,No.,1
159,No.,No.,1
160,No.,No.,1
161,No.,No.,1
