ID,Label,Prediction,Result
1,Yes.,Yes.,1
2,No.,Yes.,0
3,Yes.,Yes.,1
4,No.,Yes.,0
5,Yes.,Yes.,1
6,No.,No.,1
7,Yes.,Yes.,1
8,No.,No.,1
9,Yes.,Yes.,1
10,No.,No.,1
11,Yes.,No.,0
12,No.,Yes.,0
13,Yes.,No.,0
14,No.,Yes.,0
15,Yes.,Yes.,1
16,No.,Yes.,0
17,Yes.,Yes.,1
18,No.,No.,1
19,Yes.,Yes.,1
20,No.,No.,1
21,Yes.,Yes.,1
22,No.,No.,1
23,Yes.,Yes.,1
24,No.,Yes.,0
25,Yes.,Yes.,1
26,No.,No.,1
27,Yes.,No.,0
28,No.,Yes.,0
29,Yes.,Yes.,1
30,No.,Yes.,0
31,Yes.,No.,0
32,No.,No.,1
33,Yes.,Yes.,1
34,No.,No.,1
35,Yes.,Yes.,1
36,No.,No.,1
37,Yes.,Yes.,1
38,No.,Yes.,0
39,Yes.,Yes.,1
40,No.,No.,1
41,Yes.,Yes.,1
42,No.,No.,1
43,Yes.,No.,0
44,No.,No.,1
45,Yes.,No.,0
46,No.,Yes.,0
47,Yes.,No.,0
48,No.,No.,1
49,Yes.,Yes.,1
50,No.,Yes.,0
51,Yes.,Yes.,1
52,No.,Yes.,0
53,Yes.,Yes.,1
54,No.,Yes.,0
55,Yes.,Yes.,1
56,No.,No.,1
57,Yes.,Yes.,1
58,No.,No.,1
59,Yes.,Yes.,1
60,No.,Yes.,0
61,Yes.,Yes.,1
62,No.,Yes.,0
63,Yes.,Yes.,1
64,No.,Yes.,0
65,Yes.,Yes.,1
66,No.,Yes.,0
67,Yes.,Yes.,1
68,No.,Yes.,0
69,Yes.,Yes.,1
70,No.,No.,1
71,Yes.,Yes.,1
72,No.,No.,1
73,Yes.,Yes.,1
74,No.,No.,1
75,Yes.,Yes.,1
76,No.,No.,1
77,Yes.,Yes.,1
78,No.,No.,1
79,Yes.,No.,0
80,No.,No.,1
81,Yes.,No.,0
82,No.,No.,1
83,Yes.,Yes.,1
84,No.,No.,1
85,Yes.,No.,0
86,No.,No.,1
87,Yes.,Yes.,1
88,No.,No.,1
89,Yes.,Yes.,1
90,No.,No.,1
91,Yes.,Yes.,1
92,No.,No.,1
93,Yes.,Yes.,1
94,No.,No.,1
95,Yes.,Yes.,1
96,No.,Yes.,0
97,Yes.,Yes.,1
98,No.,No.,1
99,Yes.,Yes.,1
100,No.,Yes.,0
101,Yes.,Yes.,1
102,No.,No.,1
103,Yes.,Yes.,1
104,No.,No.,1
105,Yes.,Yes.,1
106,No.,No.,1
107,Yes.,Yes.,1
108,No.,Yes.,0
109,Yes.,No.,0
110,No.,No.,1
111,Yes.,Yes.,1
112,No.,No.,1
113,Yes.,Yes.,1
114,No.,Yes.,0
115,Yes.,No.,0
116,No.,No.,1
117,Yes.,Yes.,1
118,No.,No.,1
119,Yes.,No.,0
120,No.,No.,1
121,Yes.,Yes.,1
122,No.,Yes.,0
123,Yes.,No.,0
124,No.,No.,1
125,Yes.,Yes.,1
126,No.,No.,1
127,Yes.,Yes.,1
128,No.,No.,1
129,Yes.,Yes.,1
130,No.,Yes.,0
131,Yes.,Yes.,1
132,No.,Yes.,0
133,Yes.,Yes.,1
134,No.,No.,1
135,Yes.,Yes.,1
136,No.,No.,1
137,Yes.,Yes.,1
138,No.,Yes.,0
139,Yes.,Yes.,1
140,No.,No.,1
141,Yes.,Yes.,1
142,No.,No.,1
143,Yes.,Yes.,1
144,No.,No.,1
145,Yes.,Yes.,1
146,No.,Yes.,0
147,Yes.,Yes.,1
148,No.,No.,1
149,Yes.,Yes.,1
150,No.,No.,1
151,Yes.,No.,0
152,No.,Yes.,0
153,Yes.,Yes.,1
154,No.,No.,1
155,Yes.,Yes.,1
156,No.,No.,1
157,Yes.,Yes.,1
158,No.,Yes.,0
159,Yes.,Yes.,1
160,No.,No.,1
161,Yes.,Yes.,1
162,No.,Yes.,0
163,Yes.,No.,0
164,No.,No.,1
165,Yes.,Yes.,1
166,No.,Yes.,0
167,Yes.,Yes.,1
168,No.,No.,1
169,Yes.,Yes.,1
170,No.,No.,1
171,Yes.,No.,0
172,No.,Yes.,0
173,Yes.,Yes.,1
174,No.,No.,1
175,Yes.,Yes.,1
176,No.,No.,1
177,Yes.,Yes.,1
178,No.,No.,1
179,Yes.,Yes.,1
180,No.,No.,1
181,Yes.,No.,0
182,No.,Yes.,0
183,Yes.,Yes.,1
184,No.,Yes.,0
185,Yes.,Yes.,1
186,No.,No.,1
187,Yes.,Yes.,1
188,No.,No.,1
189,Yes.,No.,0
190,No.,No.,1
191,Yes.,Yes.,1
192,No.,Yes.,0
193,Yes.,Yes.,1
194,No.,No.,1
195,Yes.,Yes.,1
196,No.,No.,1
197,Yes.,Yes.,1
198,No.,No.,1
199,Yes.,Yes.,1
200,No.,No.,1
201,Yes.,No.,0
202,No.,Yes.,0
203,Yes.,Yes.,1
204,No.,No.,1
205,Yes.,Yes.,1
206,No.,No.,1
207,Yes.,Yes.,1
208,No.,No.,1
209,Yes.,Yes.,1
210,No.,No.,1
211,Yes.,Yes.,1
212,No.,Yes.,0
213,Yes.,Yes.,1
214,No.,Yes.,0
215,Yes.,Yes.,1
216,No.,No.,1
217,Yes.,Yes.,1
218,No.,No.,1
219,Yes.,Yes.,1
220,No.,Yes.,0
221,Yes.,Yes.,1
222,No.,Yes.,0
223,Yes.,Yes.,1
224,No.,Yes.,0
225,Yes.,Yes.,1
226,No.,No.,1
227,Yes.,No.,0
228,No.,Yes.,0
229,Yes.,Yes.,1
230,No.,No.,1
231,Yes.,No.,0
232,No.,No.,1
233,Yes.,Yes.,1
234,No.,No.,1
235,Yes.,Yes.,1
236,No.,Yes.,0
237,Yes.,No.,0
238,No.,No.,1
239,Yes.,No.,0
240,No.,No.,1
241,Yes.,Yes.,1
242,No.,No.,1
243,Yes.,Yes.,1
244,No.,No.,1
245,Yes.,Yes.,1
246,No.,Yes.,0
247,Yes.,Yes.,1
248,No.,Yes.,0
249,Yes.,No.,0
250,No.,No.,1
251,Yes.,Yes.,1
252,No.,Yes.,0
253,Yes.,Yes.,1
254,No.,No.,1
255,Yes.,No.,0
256,No.,No.,1
257,Yes.,Yes.,1
258,No.,No.,1
259,Yes.,Yes.,1
260,No.,No.,1
261,Yes.,Yes.,1
262,No.,Yes.,0
263,Yes.,Yes.,1
264,No.,Yes.,0
265,Yes.,Yes.,1
266,No.,No.,1
267,Yes.,Yes.,1
