ID,Label,Prediction,Result
1,Yes.,No.,0
2,No.,No.,1
3,Yes.,No.,0
4,No.,No.,1
5,Yes.,Yes.,1
6,No.,No.,1
7,Yes.,No.,0
8,No.,No.,1
9,Yes.,Yes.,1
10,No.,Yes.,0
11,Yes.,No.,0
12,No.,No.,1
13,Yes.,No.,0
14,No.,No.,1
15,Yes.,No.,0
16,No.,No.,1
17,Yes.,No.,0
18,No.,No.,1
19,Yes.,Yes.,1
20,No.,No.,1
21,Yes.,No.,0
22,No.,No.,1
23,Yes.,No.,0
24,No.,No.,1
25,Yes.,Yes.,1
26,No.,No.,1
27,Yes.,Yes.,1
28,No.,Yes.,0
29,Yes.,Yes.,1
30,No.,Yes.,0
31,Yes.,No.,0
32,No.,No.,1
33,Yes.,Yes.,1
34,No.,No.,1
35,Yes.,No.,0
36,No.,No.,1
37,Yes.,No.,0
38,No.,Yes.,0
39,Yes.,No.,0
40,No.,No.,1
41,Yes.,No.,0
42,No.,No.,1
43,Yes.,No.,0
44,No.,Yes.,0
45,Yes.,Yes.,1
46,No.,No.,1
47,Yes.,Yes.,1
48,No.,No.,1
49,Yes.,No.,0
50,No.,No.,1
51,Yes.,No.,0
52,No.,No.,1
53,Yes.,No.,0
54,No.,Yes.,0
55,Yes.,No.,0
56,No.,No.,1
57,Yes.,No.,0
58,No.,No.,1
59,Yes.,No.,0
60,No.,No.,1
61,Yes.,No.,0
62,No.,No.,1
63,Yes.,Yes.,1
64,No.,No.,1
65,Yes.,No.,0
66,No.,No.,1
67,Yes.,No.,0
68,No.,No.,1
69,Yes.,No.,0
70,No.,No.,1
71,Yes.,Yes.,1
72,No.,No.,1
73,Yes.,Yes.,1
74,No.,No.,1
75,Yes.,No.,0
76,No.,No.,1
77,Yes.,No.,0
78,No.,No.,1
79,Yes.,No.,0
80,No.,No.,1
81,Yes.,No.,0
82,No.,No.,1
83,Yes.,No.,0
84,No.,No.,1
85,Yes.,Yes.,1
86,No.,No.,1
87,Yes.,Yes.,1
88,No.,No.,1
89,Yes.,No.,0
90,No.,No.,1
91,Yes.,Yes.,1
92,No.,No.,1
93,Yes.,No.,0
94,No.,No.,1
95,Yes.,No.,0
96,No.,No.,1
97,Yes.,No.,0
98,No.,Yes.,0
99,Yes.,Yes.,1
100,No.,Yes.,0
101,Yes.,Yes.,1
102,No.,No.,1
103,Yes.,No.,0
104,No.,No.,1
105,Yes.,No.,0
106,No.,No.,1
107,Yes.,No.,0
108,No.,Yes.,0
109,Yes.,No.,0
110,No.,No.,1
111,Yes.,No.,0
112,No.,No.,1
113,Yes.,No.,0
114,No.,No.,1
115,Yes.,No.,0
116,No.,Yes.,0
117,Yes.,Yes.,1
118,No.,No.,1
119,Yes.,Yes.,1
120,No.,No.,1
121,Yes.,No.,0
122,No.,No.,1
123,Yes.,No.,0
124,No.,No.,1
125,Yes.,No.,0
126,No.,Yes.,0
127,Yes.,No.,0
128,No.,Yes.,0
129,Yes.,Yes.,1
130,No.,No.,1
131,Yes.,Yes.,1
132,No.,No.,1
133,Yes.,No.,0
134,No.,No.,1
135,Yes.,No.,0
136,No.,No.,1
137,Yes.,No.,0
138,No.,No.,1
139,Yes.,No.,0
140,No.,No.,1
141,Yes.,Yes.,1
142,No.,No.,1
143,Yes.,Yes.,1
144,No.,No.,1
145,Yes.,No.,0
146,No.,Yes.,0
147,Yes.,Yes.,1
148,No.,Yes.,0
149,Yes.,No.,0
150,No.,No.,1
151,Yes.,Yes.,1
152,No.,No.,1
153,Yes.,Yes.,1
154,No.,Yes.,0
155,Yes.,No.,0
156,No.,Yes.,0
157,Yes.,No.,0
158,No.,No.,1
159,Yes.,No.,0
160,No.,No.,1
161,Yes.,No.,0
162,No.,No.,1
163,Yes.,Yes.,1
164,No.,Yes.,0
165,Yes.,No.,0
166,No.,No.,1
167,Yes.,Yes.,1
168,No.,Yes.,0
169,Yes.,Yes.,1
170,No.,No.,1
171,Yes.,Yes.,1
172,No.,No.,1
173,Yes.,No.,0
174,No.,No.,1
175,Yes.,Yes.,1
176,No.,No.,1
177,Yes.,No.,0
178,No.,Yes.,0
179,Yes.,No.,0
180,No.,Yes.,0
181,Yes.,Yes.,1
182,No.,No.,1
183,Yes.,No.,0
184,No.,No.,1
185,Yes.,No.,0
186,No.,No.,1
187,Yes.,No.,0
188,No.,No.,1
189,Yes.,Yes.,1
190,No.,No.,1
191,Yes.,No.,0
192,No.,No.,1
193,Yes.,Yes.,1
194,No.,No.,1
195,Yes.,No.,0
196,No.,No.,1
197,Yes.,No.,0
198,No.,No.,1
199,Yes.,Yes.,1
200,No.,Yes.,0
201,Yes.,No.,0
202,No.,No.,1
203,Yes.,No.,0
204,No.,No.,1
205,Yes.,No.,0
206,No.,No.,1
207,Yes.,No.,0
208,No.,No.,1
209,Yes.,No.,0
210,No.,No.,1
211,Yes.,No.,0
212,No.,Yes.,0
213,Yes.,No.,0
214,No.,Yes.,0
215,Yes.,No.,0
216,No.,No.,1
217,Yes.,Yes.,1
218,No.,Yes.,0
219,Yes.,Yes.,1
220,No.,Yes.,0
221,Yes.,No.,0
222,No.,No.,1
223,Yes.,No.,0
224,No.,Yes.,0
225,Yes.,No.,0
226,No.,Yes.,0
227,Yes.,No.,0
228,No.,No.,1
229,Yes.,Yes.,1
230,No.,No.,1
231,Yes.,Yes.,1
232,No.,No.,1
233,Yes.,No.,0
234,No.,No.,1
235,Yes.,Yes.,1
236,No.,No.,1
237,Yes.,No.,0
238,No.,No.,1
239,Yes.,Yes.,1
240,No.,Yes.,0
241,Yes.,No.,0
242,No.,No.,1
243,Yes.,Yes.,1
244,No.,No.,1
245,Yes.,No.,0
246,No.,No.,1
247,Yes.,No.,0
248,No.,No.,1
249,Yes.,Yes.,1
250,No.,No.,1
251,Yes.,Yes.,1
252,No.,No.,1
253,Yes.,Yes.,1
254,No.,Yes.,0
255,Yes.,Yes.,1
256,No.,No.,1
257,Yes.,No.,0
258,No.,No.,1
259,Yes.,No.,0
260,No.,No.,1
261,Yes.,Yes.,1
262,No.,No.,1
263,Yes.,No.,0
264,No.,No.,1
265,Yes.,No.,0
266,No.,No.,1
267,Yes.,No.,0
268,No.,No.,1
269,Yes.,No.,0
270,No.,Yes.,0
271,Yes.,No.,0
272,No.,No.,1
273,Yes.,Yes.,1
274,No.,No.,1
275,Yes.,No.,0
276,No.,No.,1
277,Yes.,No.,0
278,No.,No.,1
279,Yes.,Yes.,1
280,No.,No.,1
281,Yes.,No.,0
282,No.,No.,1
283,Yes.,No.,0
284,No.,No.,1
285,Yes.,Yes.,1
286,No.,No.,1
287,Yes.,Yes.,1
288,No.,Yes.,0
289,Yes.,No.,0
290,No.,No.,1
291,Yes.,No.,0
292,No.,No.,1
293,Yes.,Yes.,1
294,No.,No.,1
295,Yes.,No.,0
296,No.,No.,1
297,Yes.,Yes.,1
298,No.,Yes.,0
299,Yes.,Yes.,1
300,No.,Yes.,0
301,Yes.,No.,0
302,No.,No.,1
303,Yes.,Yes.,1
304,No.,No.,1
305,Yes.,No.,0
306,No.,Yes.,0
307,Yes.,Yes.,1
308,No.,No.,1
309,Yes.,Yes.,1
310,No.,No.,1
311,Yes.,No.,0
312,No.,No.,1
313,Yes.,Yes.,1
314,No.,No.,1
315,Yes.,Yes.,1
316,No.,Yes.,0
317,Yes.,No.,0
318,No.,No.,1
319,Yes.,Yes.,1
320,No.,No.,1
321,Yes.,No.,0
322,No.,Yes.,0
323,Yes.,No.,0
324,No.,No.,1
325,Yes.,No.,0
326,No.,Yes.,0
327,Yes.,Yes.,1
328,No.,Yes.,0
329,Yes.,Yes.,1
330,No.,No.,1
331,Yes.,Yes.,1
332,No.,No.,1
333,Yes.,No.,0
334,No.,No.,1
335,Yes.,No.,0
336,No.,Yes.,0
337,Yes.,No.,0
338,No.,No.,1
339,Yes.,Yes.,1
340,No.,No.,1
341,Yes.,Yes.,1
342,No.,No.,1
343,Yes.,No.,0
344,No.,No.,1
345,Yes.,Yes.,1
346,No.,No.,1
347,Yes.,No.,0
348,No.,Yes.,0
349,Yes.,No.,0
350,No.,No.,1
351,Yes.,No.,0
352,No.,No.,1
353,Yes.,Yes.,1
354,No.,No.,1
355,Yes.,No.,0
356,No.,No.,1
357,Yes.,No.,0
358,No.,No.,1
359,Yes.,No.,0
360,No.,No.,1
361,Yes.,Yes.,1
362,No.,No.,1
363,Yes.,No.,0
364,No.,Yes.,0
365,Yes.,Yes.,1
